,return,agent,env,learning_rate,regularization_beta,test_results
317,120.0,OpenAI-DeepQ,CartPole-v0,0,0,120.0
318,142.0,OpenAI-DeepQ,CartPole-v0,0,0,142.0
319,149.0,OpenAI-DeepQ,CartPole-v0,0,0,149.0
320,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
321,165.0,OpenAI-DeepQ,CartPole-v0,0,0,165.0
322,154.0,OpenAI-DeepQ,CartPole-v0,0,0,154.0
323,149.0,OpenAI-DeepQ,CartPole-v0,0,0,149.0
324,151.0,OpenAI-DeepQ,CartPole-v0,0,0,151.0
325,150.0,OpenAI-DeepQ,CartPole-v0,0,0,150.0
326,162.0,OpenAI-DeepQ,CartPole-v0,0,0,162.0
327,122.0,OpenAI-DeepQ,CartPole-v0,0,0,122.0
328,140.0,OpenAI-DeepQ,CartPole-v0,0,0,140.0
329,128.0,OpenAI-DeepQ,CartPole-v0,0,0,128.0
330,173.0,OpenAI-DeepQ,CartPole-v0,0,0,173.0
331,145.0,OpenAI-DeepQ,CartPole-v0,0,0,145.0
332,130.0,OpenAI-DeepQ,CartPole-v0,0,0,130.0
333,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
334,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
335,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
336,175.0,OpenAI-DeepQ,CartPole-v0,0,0,175.0
337,65.0,OpenAI-DeepQ,CartPole-v0,0,0,65.0
338,159.0,OpenAI-DeepQ,CartPole-v0,0,0,159.0
339,125.0,OpenAI-DeepQ,CartPole-v0,0,0,125.0
340,130.0,OpenAI-DeepQ,CartPole-v0,0,0,130.0
341,154.0,OpenAI-DeepQ,CartPole-v0,0,0,154.0
342,130.0,OpenAI-DeepQ,CartPole-v0,0,0,130.0
343,178.0,OpenAI-DeepQ,CartPole-v0,0,0,178.0
344,137.0,OpenAI-DeepQ,CartPole-v0,0,0,137.0
345,164.0,OpenAI-DeepQ,CartPole-v0,0,0,164.0
346,152.0,OpenAI-DeepQ,CartPole-v0,0,0,152.0
347,127.0,OpenAI-DeepQ,CartPole-v0,0,0,127.0
348,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
349,156.0,OpenAI-DeepQ,CartPole-v0,0,0,156.0
350,125.0,OpenAI-DeepQ,CartPole-v0,0,0,125.0
351,131.0,OpenAI-DeepQ,CartPole-v0,0,0,131.0
352,147.0,OpenAI-DeepQ,CartPole-v0,0,0,147.0
353,123.0,OpenAI-DeepQ,CartPole-v0,0,0,123.0
354,133.0,OpenAI-DeepQ,CartPole-v0,0,0,133.0
355,169.0,OpenAI-DeepQ,CartPole-v0,0,0,169.0
356,154.0,OpenAI-DeepQ,CartPole-v0,0,0,154.0
357,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
358,189.0,OpenAI-DeepQ,CartPole-v0,0,0,189.0
359,129.0,OpenAI-DeepQ,CartPole-v0,0,0,129.0
360,167.0,OpenAI-DeepQ,CartPole-v0,0,0,167.0
361,131.0,OpenAI-DeepQ,CartPole-v0,0,0,131.0
362,125.0,OpenAI-DeepQ,CartPole-v0,0,0,125.0
363,21.0,OpenAI-DeepQ,CartPole-v0,0,0,21.0
364,112.0,OpenAI-DeepQ,CartPole-v0,0,0,112.0
365,115.0,OpenAI-DeepQ,CartPole-v0,0,0,115.0
366,121.0,OpenAI-DeepQ,CartPole-v0,0,0,121.0
367,99.0,OpenAI-DeepQ,CartPole-v0,0,0,99.0
368,100.0,OpenAI-DeepQ,CartPole-v0,0,0,100.0
369,115.0,OpenAI-DeepQ,CartPole-v0,0,0,115.0
370,109.0,OpenAI-DeepQ,CartPole-v0,0,0,109.0
371,107.0,OpenAI-DeepQ,CartPole-v0,0,0,107.0
372,114.0,OpenAI-DeepQ,CartPole-v0,0,0,114.0
373,111.0,OpenAI-DeepQ,CartPole-v0,0,0,111.0
374,122.0,OpenAI-DeepQ,CartPole-v0,0,0,122.0
375,122.0,OpenAI-DeepQ,CartPole-v0,0,0,122.0
376,131.0,OpenAI-DeepQ,CartPole-v0,0,0,131.0
377,166.0,OpenAI-DeepQ,CartPole-v0,0,0,166.0
378,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
379,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
380,142.0,OpenAI-DeepQ,CartPole-v0,0,0,142.0
381,196.0,OpenAI-DeepQ,CartPole-v0,0,0,196.0
382,108.0,OpenAI-DeepQ,CartPole-v0,0,0,108.0
383,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
384,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
